Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any methods (% of women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal) [ER.GDP.FWTL.M3.KD]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Start-up procedures to register a business (number) [IC.REG.PROC],Market capitalization of listed domestic companies (% of GDP) [CM.MKT.LCAP.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]",Total debt service (% of GNI) [DT.TDS.DECT.GN.ZS],Net migration [SM.POP.NETM],"Personal remittances, paid (current US$) [BM.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net ODA received per capita (current US$) [DT.ODA.ODAT.PC.ZS],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
2000,YR2000,Australia,AUS,19153000,1.192272323,7741220,..,4.04482E+11,21120,4.89577E+11,25560,..,79.23414634,1.756,17.9326,..,99.3,6.2,..,91,..,..,..,0.1,1318141,..,5644.064951,17.68965697,10193.91218,4.15223E+11,3.933136945,2.579702071,3.119068182,24.63840014,19.43465944,21.59435174,26.3080439,25.94277625,..,89.78179886,1.829841913,45.08349055,..,32.60877152,100,..,..,..,868990623.8,14892978180,..,21679.24784,-10797958705,4.457435148
2000,YR2000,Austria,AUT,8011566,0.240466652,83879,..,2.14597E+11,26790,2.334E+11,29130,8.6,78.12682927,1.36,13.9232,..,98.3,5.5,..,75,..,98.69606018,0.969690025,..,38381.4,..,3570.498826,7.929785513,7076.269483,1.968E+11,3.375722147,1.364040914,1.647300213,28.28480203,43.34627395,42.01422167,25.92697094,43.77718785,..,15.21100286,0.98031858,75.80605745,..,71.1911369,100,..,..,..,1298060059,8501013451,..,24564.45829,..,2.344862854
2000,YR2000,Azerbaijan,AZE,8048600,0.821519964,86600,..,4872867003,610,25945513009,3220,..,66.763,2,36.5066,55.1,80.7,74.6,14,67,89.51351166,..,..,0.1,9872.2,..,1403.433268,4.971050866,2040.47909,5272798391,11.0999995,12.49277345,16.08486467,42.53830991,40.17083148,38.3777368,20.67357623,..,..,..,2.267862063,5.17559282,..,55.32166762,100,1585215993,2.796521761,..,100962000,129937000,17.4701191,655.1199452,-129177000,1.805003037
2000,YR2000,"Bahamas, The",BHS,298045,1.345045172,13880,..,7855582976,26360,8212056406,27550,..,71.914,2.073,51.222,..,99,16.3,..,93,..,..,..,..,5098.6,..,..,7.180123807,..,8076470000,4.149234046,0.921917928,1.344646857,12.14887197,38.04756286,41.59738103,30.18521706,11.60359662,..,..,..,10.57671338,..,32.81136437,100,..,..,..,56170000,250250000,..,27098.15632,-250250000,1.606329417
2000,YR2000,Bahrain,BHR,664610,4.315314275,710,..,7269717484,10940,27342775276,41140,..,74.44,2.795,17.583,53.4,97.7,12.5,..,98,98.78814697,97.56947327,1.029690027,..,3.7,..,11988.79343,23.8937121,20014.74549,9062898936,5.300070056,29.99127655,..,..,79.18066703,56.6284683,16.57505906,31.27081713,..,73.09305827,3.961670969,30.9544982,..,119.4650859,100,..,..,..,1012681830,363562321.9,90.92550564,13636.41675,-354009613.6,-0.704852953
2000,YR2000,Bangladesh,BGD,127657862,1.952390462,148460,48.9,55712709024,440,1.75499E+11,1370,8.6,65.447,3.169,112.2538,54.3,12.1,86.5,42.4,74,..,49.76398849,..,..,19203.281,..,143.0538058,0.169593942,104.6077366,53369787319,5.293294718,3.44665935,22.71814808,22.27938268,12.34420123,16.97751313,23.80856257,..,..,4.107529953,1.357119181,0.218552945,..,28.615441,100,15600564697,1.403444751,..,4378216.685,280384629.7,7.648099471,418.0689421,-280384629.7,2.208256209
2000,YR2000,Barbados,BRB,271511,0.389692835,430,..,2926246619,10780,3342299167,12310,..,77.162,1.775,51.1212,..,98,15.1,..,94,98.39069366,103.6240768,1.006950021,1.9,63,..,..,4.567034116,..,3059500000,4.447189623,-1.322839151,1.995424089,15.30642262,43.23582285,47.34270306,18.10753391,..,..,55.77806831,..,10.48450362,..,46.67429319,100,..,..,..,19150000,73696943.91,6.629565477,11268.42006,-50864443.91,2.435813035
2000,YR2000,Belarus,BLR,9979610,-0.471131335,207600,41.9,13778614535,1380,57705302050,5780,7.9,68.91219512,1.317,27.783,..,99.9,12.7,..,98,102.3249207,..,..,0.1,82730,..,2462.411056,5.309826737,2996.309475,12738912134,5.80000344,185.2907607,12.09682717,33.47894633,69.21082134,72.39834461,25.39867306,28.68127176,..,..,1.346984151,0.499947729,..,125.3796229,100,2620196263,3.072725756,..,9600000,118800000,..,1276.493985,-118600000,168.6202359
2000,YR2000,Belgium,BEL,10251250,0.242517956,30530,..,2.65144E+11,25860,2.92294E+11,28510,8.4,77.72195122,1.67,10.6408,..,..,5.8,..,82,..,144.8762817,1.057279944,..,6673,..,5669.358176,11.44055603,8247.677113,2.36205E+11,3.716679384,2.014617387,1.17600528,24.94383258,72.54739516,69.68273991,23.7829613,42.4166967,..,77.25529979,1.341210276,54.74598263,..,154.900499,100,..,..,..,3587770752,88738714000,..,23041.53473,..,2.544517762
2000,YR2000,Belize,BLZ,247310,3.426692846,22970,..,780038014.2,3150,1287353100,5210,..,68.847,3.601,97.2162,..,100,23.6,..,96,100.0501328,67.98631287,0.984929979,..,14593,..,..,1.819578666,..,832072464.7,13.01958111,0.475942608,14.64928935,18.53630231,52.97222314,73.67303663,31.70716912,20.35820282,..,..,0.855252088,6.797808463,..,86.53092496,100,629903800.8,9.90769717,..,6435358.715,29564651.92,65.30265504,3364.49179,-23340762.43,..
2000,YR2000,Benin,BEN,6865946,2.983861929,114760,..,3285463000,480,12039933514,1750,..,55.391,5.962,118.5246,..,..,138.8,..,70,37.80432892,21.83777046,0.633329988,1.3,41351.5,..,288.7686562,0.222838921,58.11289515,3519991440,5.857714205,4.341055664,23.54123399,18.75634821,20.60530255,26.74284895,16.00840245,..,..,..,0.564235731,0.807987124,..,28.55120579,100,1399684852,2.146725186,..,8901617.842,-12794843.61,35.64985863,512.6739185,-56293369.4,4.165404423
2000,YR2000,Bermuda,BMU,61833,0.890208774,54,..,..,..,..,..,..,77.88536585,1.74,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,3480219000,9.317156411,-4.236356147,0.668952155,11.07301006,..,..,..,..,..,61.66278616,..,19.99630837,..,22.15377825,100,..,..,..,..,66900000,..,56284.16865,..,..
2000,YR2000,Bhutan,BTN,591014,2.24630884,40077,..,412223709.2,700,1591736072,2690,..,60.884,3.515,77.1602,30.7,27.3,77.1,..,78,51.06835175,30.02342987,0.857159972,..,26060,..,..,0.626042699,..,424464089.9,3.355068285,7.350196168,24.26719528,36.43680288,30.39421022,49.95924493,50.34362972,23.66449021,..,..,..,0,..,65.49435079,100,211571982.8,1.659718962,..,..,..,79.69354106,718.196337,..,4.01099373
2000,YR2000,Bolivia,BOL,8418270,1.933502534,1098580,..,8287259662,980,28161612938,3350,1.1,62.452,4.051,86.5276,53.4,67.3,75.5,..,84,..,72.90833282,0.965309978,0.5,551013.9,..,582.6748251,0.950314019,415.8811727,8397912509,2.507807553,5.19540791,12.96581268,25.73902396,18.27474597,27.32302914,18.14347892,17.80198046,..,..,2.062971201,6.920904357,..,36.43762657,100,5892765188,7.849025261,..,37000000,736350000,50.61372308,997.5817489,-733550000,4.608229989
2000,YR2000,Bosnia and Herzegovina,BIH,3751176,0.208765697,51210,..,5572336107,1490,18895011681,5040,..,74.403,1.497,21.4168,47.5,98.9,9.9,4.2,80,..,..,..,..,21116.5,..,1158.63132,3.718833774,2030.296632,5505887894,5.500000276,28.78778446,8.903610232,19.36975789,28.69084267,75.50159552,20.55163829,..,..,..,..,2.489512622,..,75.84607751,100,2791207815,5.24124026,..,2350912.047,146075610.9,196.7196401,1467.776477,-146075610.9,..
2000,YR2000,Botswana,BWA,1643333,2.033083991,581730,..,5217033318,3170,13557092939,8250,..,50.629,3.304,59.1762,44.4,98.5,69.3,11.1,91,96.82112885,80.41092682,1.018190026,26.1,176207,..,1092.486428,2.452333155,1155.578328,5788329609,1.987695854,14.17096689,2.794699789,46.30065457,51.83181007,40.09291962,29.55108039,..,..,16.88932846,3.191242951,13.52068417,..,82.16532784,100,452434627.4,1.263712341,..,133941061.2,57171341.35,18.63286433,3522.310821,-54918606.04,8.601485149
2000,YR2000,Brazil,BRA,174790339,1.424167442,8515770,..,6.8736E+11,3930,1.53813E+12,8800,..,70.116,2.3,82.21,..,98.6,34.6,..,99,..,..,..,0.4,5510886,..,1072.379544,1.788828844,1897.353148,6.55421E+11,4.387949443,5.606065146,4.750459976,23.00661863,10.188048,12.45171335,18.90311927,..,..,34.50491094,1.730726147,13.26627719,..,17.35709743,100,2.42512E+11,9.203848314,..,338325000,32994718700,1.462781033,3749.753271,-30497652700,7.044141059
2000,YR2000,British Virgin Islands,VGB,20313,1.422964589,150,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.1764679,98.75978851,1.028069973,..,36.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,8073327000,..,..,..,..
2000,YR2000,Brunei Darussalam,BRN,333166,2.108725655,5770,..,4892094612,14680,22135261424,66440,..,72.809,2.346,27.4754,..,99.2,10.3,..,99,114.790947,84.64923096,0.982150018,..,3970,..,7157.11087,13.29667493,7545.787986,6001153306,2.849421858,29.01570917,1.024413492,63.66977334,67.35433192,35.81729355,13.05791927,..,..,..,4.06920549,28.51439977,..,83.48395291,100,..,..,..,..,549607250.8,..,18012.50219,..,1.558152476
2000,YR2000,Bulgaria,BGR,8170172,-0.493896417,110990,..,13584535848,1660,51209745178,6270,..,71.66341463,1.26,44.808,..,99.8,17.4,..,89,96.15943146,92.78795624,0.976970017,0.1,33750,..,2277.367967,5.30343792,3673.606871,13245833844,4.782043523,7.181202287,10.97048275,22.8671846,36.21885804,41.52684888,19.04614416,..,..,0.974570582,2.671170465,9.227356436,..,86.03459876,100,12008623065,9.917307529,..,25957718.8,1001503842,..,1621.242961,-998219916.7,10.31626213
2000,YR2000,Burkina Faso,BFA,11607951,2.842006974,274220,..,3135673593,270,10688302846,920,..,50.489,6.592,139.304,..,..,179.2,..,48,25.42222023,10.42247963,0.700230002,2.1,72165,..,..,0.090455241,..,2968369991,1.888473889,-0.819773185,24.91403646,21.87075455,8.844717485,26.27822449,14.57069906,..,..,..,1.392162753,0.217480411,..,27.62458866,100,1437932410,1.601594961,..,44507102.97,23107520.48,15.48766003,255.7186873,..,-0.304212168
2000,YR2000,Burundi,BDI,6378871,1.767228872,27830,..,859340957.8,130,3417413481,540,..,49.091,6.92,76.266,15.7,25.2,155.2,39.1,72,24.35050011,..,..,3.5,1939.4,..,..,0.040759564,..,870486065.9,-0.856864058,38.9448932,44.10704011,15.53957069,6.318970594,16.23475389,2.78113771,..,..,..,4.862402213,0.255844647,..,22.74591263,100,1125869261,2.558688464,..,2463668.236,11683246.08,14.62798002,136.4639708,-11683240.67,24.43202421
2000,YR2000,Cabo Verde,CPV,428178,1.819916037,4030,..,601942766.2,1410,1266782278,2960,..,68.583,3.539,96.512,..,..,38.1,..,86,105.9931488,68.67608643,..,0.7,397.2,..,..,0.513805006,..,539227277.6,14.28486883,-7.901103461,12.8717827,21.74719078,27.00721854,60.51338982,..,..,..,..,1.154025913,4.60755556,..,44.69358469,100,319703769.2,3.077463133,..,479393.645,34202238.38,221.0529302,1259.353067,-32806136.11,-2.477456685
2000,YR2000,Cambodia,KHM,12155241,2.23601611,181040,..,3657595026,300,12642116509,1040,..,58.432,3.805,49.5172,23.8,31.8,106.3,39.7,65,..,17.28544998,0.818300009,1.6,107810,..,280.7322372,0.161247317,32.74307766,3654031716,9.993580322,-4.283226768,35.91870323,21.85665448,49.84623523,61.76329887,17.5289932,..,..,..,2.20981321,1.073997805,..,91.07747985,100,2108290127,0.35475186,..,59617900,118308566.3,28.42888903,300.613679,-141910547.8,-0.791992529
2000,YR2000,Cameroon,CMR,15513944,2.62105318,475440,..,10249931703,660,28350592041,1830,..,50.993,5.58,154.7712,25.6,56,143.4,..,49,49.5123291,27.57543945,..,4.6,215974.9,..,406.7088292,0.431869549,175.2616872,10109045071,3.553374364,5.214816796,16.73646394,29.91514323,25.90820941,24.94465955,19.98456876,..,..,..,1.324748865,0.665717198,..,32.8616598,100,10561281361,5.882455218,..,29980072.04,159708006.2,24.31103294,651.6102592,-149497898.4,1.22719013
2000,YR2000,Canada,CAN,30685730,0.931281553,9879750,..,6.9422E+11,22620,8.77389E+11,28590,7.1,79.13658537,1.488,16.8338,..,99.3,6.2,..,96,97.81784058,101.9231262,1.010570049,..,3478019.7,..,8265.079925,16.78304541,17037.07228,7.44773E+11,4.917762744,4.593831662,2.091653007,29.50003752,44.20923582,38.55612203,20.61446771,20.86174115,..,103.5001416,1.11808088,28.53043915,..,70.010689,100,..,..,..,1696622259,68303350856,..,24271.00206,-21653038994,2.719439957
2000,YR2000,Cayman Islands,CYM,42305,4.550635247,264,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.3157883,95.16457367,0.997879982,..,129.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.29371439,..,..,100,..,..,..,..,9358723000,..,..,..,..
2000,YR2000,Central African Republic,CAF,3640421,2.289540499,622980,..,937849834.8,260,2420173860,660,..,44.19,5.5,149.054,27.9,31.7,169.8,21.3,36,..,..,..,7.1,229030,..,..,0.065926441,..,914500299.1,-2.48943244,8.506601078,..,..,20.37221359,25.2875684,11.07229594,..,..,..,..,0.136440038,..,30.39911526,100,869008795.3,1.623692368,..,..,889074.9126,20.84923736,251.2072914,..,3.203400916
2000,YR2000,Chad,TCD,8355654,3.68276825,1284000,..,1507015786,180,6319492733,760,..,47.713,7.354,212.41,7.9,13.7,185.1,29.2,28,22.1473999,10.76673985,0.561860025,1.9,63530,..,..,0.061036515,..,1388506727,-0.879681025,5.28980486,40.70509403,10.91266173,16.89009643,34.68107558,23.27390222,..,..,..,1.362045317,0.065823693,..,36.00990837,100,1098899966,1.822114302,..,..,115172421.5,15.71750121,166.1757089,..,3.822600881
2000,YR2000,Channel Islands,CHI,148439,0.598666617,198,..,6310777789,42510,..,..,..,79.037,1.526,13.656,..,..,..,..,..,..,..,..,..,8.3,..,..,..,..,6439703435,5.826641469,3.892317592,..,..,..,..,..,..,..,3.961051974,..,..,..,..,..,..,..,..,..,..,..,43382.82685,..,..
2000,YR2000,Chile,CHL,15342350,1.177185279,756096,36,77651817813,5060,1.41423E+11,9220,3.8,76.366,2.055,60.3632,..,99,10.9,..,97,..,85.52158356,0.995980024,0.2,158170.6,..,1640.410693,3.247220928,2499.291178,77860932152,5.326938419,4.271839188,5.377918724,31.42229659,30.53170013,28.78412198,22.11674947,20.88936892,..,77.57519507,2.703282046,22.17081695,..,48.44149557,100,..,..,..,15600000,4860015668,3.294149913,5074.902616,-873370518.2,3.843272957
2000,YR2000,China,CHN,1262645000,0.787956593,9600000,49.8,1.18151E+12,940,3.64299E+12,2890,..,71.397,1.596,9.911,83.8,96.6,36.8,7.4,84,..,60.25989914,..,..,1770005.5,..,898.9873131,2.648479977,992.9433847,1.21135E+12,8.490093406,2.062792614,14.67624166,45.53610318,20.89344482,18.51709397,33.57302849,..,..,..,1.887353783,6.606481691,..,39.15451568,100,1.45937E+11,2.22371759,..,754290000,42095300000,1.385203299,959.3724836,-37483300000,0.347811227
2000,YR2000,Colombia,COL,39629965,1.603751902,1141750,..,92623850824,2340,2.59415E+11,6550,1.9,72.945,2.572,97.6814,76.9,86.1,24.9,4.9,88,96.0116806,73.08660126,1.038570046,0.4,627355,..,651.3635831,1.469090371,845.5975169,99886577331,2.924861483,33.67537051,8.305719533,27.30577228,15.91513972,16.75194575,14.89562703,15.49434966,..,..,3.031683539,5.694682872,..,24.60991322,100,34329248551,5.265935819,..,219135624.6,2436459923,5.106489373,2520.481089,-2111113395,9.222570802
2000,YR2000,Comoros,COM,542358,2.521578956,1861,..,393975214.8,730,978152950.8,1800,..,59.46,5.384,94.8934,25.7,61.8,100.4,25.1,70,..,..,..,0.1,416.8,..,..,0.184380059,..,351136568.4,10.84787862,-4.460024513,29.37631994,12.20627155,8.836314059,26.92116449,18.04229519,..,..,..,..,0,..,16.23300024,100,232285377.4,0.9263794,..,..,93636.1151,35.60378839,647.4258118,..,..
2000,YR2000,"Congo, Dem. Rep.",COD,47105830,2.550440473,2344860,..,6351348317,130,20631804485,440,..,50.041,6.751,125.4476,..,..,159.5,..,46,..,..,..,1.7,1438990,..,295.2242005,0.019530491,96.56978765,19088046306,-6.910927317,2630.122674,31.97235827,22.4057063,11.44961203,15.56479089,14.43349633,..,..,..,0.220260773,0.031843195,..,7.805932447,100,11804397526,0.159071844,..,..,94190400,3.7880662,405.2162186,..,513.9068437
2000,YR2000,"Congo, Rep.",COG,3127420,2.886679062,342000,..,1767860113,570,8460924582,2710,..,52.123,4.871,122.1396,..,..,114,..,34,..,..,..,4.1,221950,..,226.9832642,0.914491818,95.60596274,3227927593,7.575980395,47.04008308,5.304252999,72.15267176,80.29714722,43.61273719,22.6259542,..,..,..,..,2.238273128,..,91.51382473,100,4675949722,1.974624778,..,36536329.84,-97897925.12,10.28003963,1032.137542,-162058771,-0.881991517
